OID_,DEM_Large_S3_Regm1b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
238,-12,-2.833312651150472,19.745663127536481,-12.9994240,-0.4709323,9.6428318,0.1627909
239,-12,-2.825856011150472,19.745663127536481,-12.9985790,-0.4556152,9.6755495,0.1634457
240,-12,-2.818399371150472,19.745663127536481,-12.9977026,-0.4457352,9.7121077,0.1633429
241,-12,-2.810942731150472,19.745663127536481,-12.9967947,-0.4407820,9.7576675,0.1593894
242,-12,-2.803486091150472,19.745663127536481,-12.9958553,-0.4285959,9.8165045,0.1510309
243,-12,-2.796029451150472,19.745663127536481,-12.9948835,-0.3986676,9.8768435,0.1402266
244,-12,-2.788572811150472,19.745663127536481,-12.9938841,-0.3509599,9.9203930,0.1349066
245,-12,-2.781116171150472,19.745663127536481,-12.9928608,-0.2951883,9.9381285,0.1520880
246,-12,-2.773659531150472,19.745663127536481,-12.9918222,-0.2430625,9.9207973,0.2046304
247,-12,-2.766202891150472,19.745663127536481,-12.9907751,-0.1984384,9.8777990,0.2901981
248,-12,-2.758746251150472,19.745663127536481,-12.9897251,-0.1520091,9.8138609,0.3991242
249,-13,-3.071925131150472,19.738206487536480,-13.0106144,-0.4367824,9.7947483,0.3296945
250,-13,-3.064468491150472,19.738206487536480,-13.0109234,-0.5131101,9.8476772,0.3359851
251,-13,-3.057011851150472,19.738206487536480,-13.0111837,-0.5805586,9.8948002,0.3478732
252,-13,-3.049555211150472,19.738206487536480,-13.0113888,-0.6281801,9.9416246,0.3618110
253,-13,-3.042098571150472,19.738206487536480,-13.0115318,-0.6466349,9.9987745,0.3746363
254,-13,-3.034641931150472,19.738206487536480,-13.0116129,-0.6397932,10.0677385,0.3835088
255,-13,-3.027185291150472,19.738206487536480,-13.0116310,-0.6100562,10.1451015,0.3861025
256,-13,-3.019728651150472,19.738206487536480,-13.0115919,-0.5671525,10.2224913,0.3808240
257,-13,-3.012272011150471,19.738206487536480,-13.0114994,-0.5159932,10.2970123,0.3671417
258,-13,-3.004815371150471,19.738206487536480,-13.0113583,-0.4606337,10.3581676,0.3460315
259,-13,-2.997358731150472,19.738206487536480,-13.0111752,-0.4003171,10.4018917,0.3203413
260,-13,-2.989902091150472,19.738206487536480,-13.0109568,-0.3425311,10.4240294,0.2944185
261,-13,-2.982445451150472,19.738206487536480,-13.0107079,-0.2916624,10.4216433,0.2734582
262,-13,-2.974988811150472,19.738206487536480,-13.0104361,-0.2516534,10.3920164,0.2619215
263,-13,-2.967532171150472,19.738206487536480,-13.0101442,-0.2306444,10.3380165,0.2610844
264,-13,-2.960075531150472,19.738206487536480,-13.0098362,-0.2296202,10.2619400,0.2681389
265,-13,-2.952618891150472,19.738206487536480,-13.0095100,-0.2427164,10.1712132,0.2779970
266,-13,-2.945162251150472,19.738206487536480,-13.0091677,-0.2641313,10.0678368,0.2858031
267,-13,-2.937705611150472,19.738206487536480,-13.0088043,-0.2954973,9.9556227,0.2883346
268,-13,-2.930248971150472,19.738206487536480,-13.0084200,-0.3372898,9.8439999,0.2844739
269,-13,-2.922792331150472,19.738206487536480,-13.0080099,-0.3814624,9.7407045,0.2747286
270,-13,-2.915335691150472,19.738206487536480,-13.0075712,-0.4238115,9.6506281,0.2603999
271,-13,-2.907879051150472,19.738206487536480,-13.0070982,-0.4614311,9.5750599,0.2430274
272,-13,-2.900422411150472,19.738206487536480,-13.0065908,-0.4878867,9.5185137,0.2240356
273,-13,-2.892965771150472,19.738206487536480,-13.0060463,-0.5021623,9.4774923,0.2048534
274,-13,-2.885509131150472,19.738206487536480,-13.0054636,-0.5066267,9.4513817,0.1872725
275,-13,-2.878052491150472,19.738206487536480,-13.0048447,-0.5090521,9.4376431,0.1724985
276,-13,-2.870595851150472,19.738206487536480,-13.0041904,-0.5141922,9.4357824,0.1610370
277,-13,-2.863139211150472,19.738206487536480,-13.0035000,-0.5237710,9.4543991,0.1531942
278,-13,-2.855682571150472,19.738206487536480,-13.0027723,-0.5240492,9.4932041,0.1493887
279,-13,-2.848225931150472,19.738206487536480,-13.0020065,-0.5095952,9.5405483,0.1503681
280,-13,-2.840769291150472,19.738206487536480,-13.0012064,-0.4904296,9.5855026,0.1568030
281,-13,-2.833312651150472,19.738206487536480,-13.0003719,-0.4746073,9.6321812,0.1668761
