OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
95,-13,-5.435680011150471,20.655373207536478,-13.1410799,-0.0042975,22.3140488,-0.0635417,-0.5548570,4.0000000,-0.8771758,1.0841931,22.7351456,-0.2325382,2.0530679
96,-13,-5.428223371150471,20.655373207536478,-13.1419029,-0.0035537,24.7933884,-0.0554306,-0.5524688,4.0000000,-0.9228820,1.0838817,22.6957436,-0.1820555,2.0371933
97,-13,-5.420766731150471,20.655373207536478,-13.1426497,-0.0027273,27.2727280,-0.0523636,-0.5483498,4.0000000,-0.9630378,1.0835589,22.6550579,-0.1336618,2.0218337
98,-13,-5.413310091150471,20.655373207536478,-13.1433182,-0.0019835,29.7520657,-0.0554487,-0.5403394,4.0000000,-0.9938996,1.0832287,22.6123734,-0.0867791,1.9953969
99,-13,-5.405853451150471,20.655373207536478,-13.1439085,-0.0014050,31.4049587,-0.0636744,-0.5276895,4.0000000,-1.0130365,1.0829036,22.5706902,-0.0423426,1.9506106
100,-13,-5.398396811150471,20.655373207536478,-13.1444225,-0.0009091,33.0578499,-0.0782946,-0.5115648,4.0000000,-1.0247986,1.0825999,22.5321388,0.0016691,1.9016193
101,-13,-5.390940171150472,20.655373207536478,-13.1448603,-0.0004959,33.8842964,-0.0950534,-0.4941652,4.0000000,-1.0300747,1.0823194,22.4949474,0.0417442,1.8508034
102,-13,-5.383483531150471,20.655373207536478,-13.1452227,-0.0000826,34.7107430,-0.1156791,-0.4726730,4.0000000,-1.0267527,1.0820628,22.4628563,0.0814068,1.7883164
103,-13,-5.376026891150472,20.655373207536478,-13.1455107,0.0002479,35.5371895,-0.1384934,-0.4505520,4.0000000,-1.0196345,1.0818381,22.4334393,0.1185305,1.7318007
104,-13,-5.368570251150472,20.655373207536478,-13.1457262,0.0004959,36.3636360,-0.1637962,-0.4251142,4.0000000,-1.0052931,1.0816511,22.4094296,0.1550649,1.6685849
105,-13,-5.361113611150472,20.655373207536478,-13.1458702,0.0006612,36.3636360,-0.1888822,-0.3970283,4.0000000,-0.9838697,1.0815113,22.3906498,0.1898131,1.5972508
106,-13,-5.353656971150472,20.655373207536478,-13.1459446,0.0008264,36.3636360,-0.2165038,-0.3678472,4.0000000,-0.9609475,1.0814129,22.3784237,0.2252530,1.5366174
107,-13,-5.346200331150472,20.655373207536478,-13.1459513,0.0009091,36.3636360,-0.2434076,-0.3381578,5.0000000,-0.9355229,1.0813494,22.3689766,0.2592073,1.4805121
108,-13,-5.338743691150472,20.655373207536478,-13.1458921,0.0008264,36.3636360,-0.2698497,-0.3060521,4.0000000,-0.9055590,1.0813264,22.3665390,0.2934548,1.4230329
109,-13,-5.331287051150472,20.655373207536478,-13.1457691,0.0006612,36.3636360,-0.2947666,-0.2725430,4.0000000,-0.8727541,1.0813503,22.3697281,0.3276681,1.3675942
110,-13,-5.323830411150472,20.655373207536478,-13.1455841,0.0004132,35.5371895,-0.3191671,-0.2385537,4.0000000,-0.8395911,1.0814273,22.3794670,0.3624836,1.3219019
111,-13,-5.316373771150472,20.655373207536478,-13.1453390,0.0001653,34.7107430,-0.3415268,-0.2057836,4.0000000,-0.8076563,1.0815501,22.3945065,0.3960890,1.2868916
112,-13,-5.540072971150471,20.647916567536477,-13.1249580,-0.0001653,31.4049587,-0.6228591,-0.2772124,4.0000000,0.3338861,1.0823869,22.5080700,-0.8883110,1.9997823
