OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
110,-12,-5.554986251150471,22.482250007536479,-12.7896662,0.0041322,47.1074371,-0.0516021,-0.5996373,4.0000000,-0.4333331,1.1405560,28.7704411,-0.7659414,2.4767520
111,-12,-5.547529611150471,22.482250007536479,-12.7912836,-0.0042975,27.2727280,0.0901927,-0.4809034,4.0000000,-0.3733060,1.1412078,28.7911358,-0.5885009,1.1975763
112,-12,-5.540072971150471,22.482250007536479,-12.7928486,-0.0026446,31.4049587,0.1366625,-0.3772456,4.0000000,-0.3412389,1.1416150,28.8491783,-0.4132523,0.4952768
113,-12,-5.532616331150471,22.482250007536479,-12.7944136,-0.0011570,35.5371895,0.2157623,-0.4978110,4.0000000,-0.5748820,1.1404920,28.7661781,-0.4207401,1.0472363
114,-12,-5.525159691150471,22.482250007536479,-12.7959185,0.0002479,38.8429756,0.7492188,-0.9192297,4.0000000,-1.1906399,1.1378902,28.5356941,-0.6478196,3.7015190
115,-12,-5.517703051150471,22.482250007536479,-12.7974052,0.0016529,42.1487617,1.1282539,-1.1515561,4.0000000,-1.4748398,1.1336060,28.1045418,-0.8282724,5.8075428
116,-12,-5.510246411150471,22.482250007536479,-12.7987146,0.0029752,45.4545441,1.1292084,-1.2061077,4.0000000,-1.3988528,1.1288162,27.6020813,-1.0133628,6.2827554
117,-12,-5.502789771150471,22.482250007536479,-12.7999840,0.0042975,48.7603302,0.9375085,-1.2077155,4.0000000,-1.2054847,1.1243844,27.1898365,-1.2099464,6.4489918
118,-12,-5.495333131150471,22.482250007536479,-12.8011837,-0.0046281,26.4462814,1.8439325,-1.4696227,4.0000000,-1.4857464,1.1198708,26.7277088,-1.4534991,7.9886580
119,-12,-5.487876491150471,22.482250007536479,-12.8022842,-0.0036364,28.9256191,2.5374551,-1.6360668,4.0000000,-1.6464936,1.1160734,26.3557720,-1.6256399,8.9604530
120,-12,-5.480419851150471,22.482250007536479,-12.8032284,-0.0025620,30.5785122,2.5444789,-1.6378675,4.0000000,-1.6731080,1.1131581,26.0218391,-1.6026270,8.9162512
121,-12,-5.472963211150471,22.482250007536479,-12.8040771,-0.0014876,33.0578499,1.6065830,-1.3912306,4.0000000,-1.3644394,1.1102531,25.7093086,-1.4180218,6.9526601
122,-12,-5.465506571150471,22.482250007536479,-12.8048229,-0.0004959,35.5371895,0.7456016,-1.1817340,4.0000000,-1.2091758,1.1064420,25.3254375,-1.1542920,6.2595825
123,-12,-5.458049931150471,22.482250007536479,-12.8055267,0.0003306,37.1900826,0.1254709,-0.9922088,4.0000000,-1.0377067,1.1020768,24.8491783,-0.9467110,5.5452209
124,-12,-5.450593291150471,22.482250007536479,-12.8061438,0.0009917,38.8429756,-0.5019305,-0.6264957,4.0000000,-0.5382265,1.0979669,24.3414326,-0.7147648,3.6952345
125,-12,-5.443136651150471,22.482250007536479,-12.8067341,0.0017355,40.4958687,-0.7270900,-0.2012935,4.0000000,0.0125604,1.0952895,24.0473042,-0.4151475,2.2828574
126,-12,-5.592269451150471,22.474793367536478,-12.7839813,-0.0014050,31.4049587,-0.1483773,-0.4676099,4.0000000,0.0917969,1.1414069,28.9225941,-1.0270166,1.5798835
127,-12,-5.584812811150471,22.474793367536478,-12.7860336,0.0004132,37.1900826,0.0563370,-0.6280178,4.0000000,-0.1896000,1.1423832,28.9660282,-1.0664357,2.0637703
128,-12,-5.577356171150471,22.474793367536478,-12.7880192,0.0023967,42.1487617,0.1616724,-0.7734081,4.0000000,-0.4001077,1.1424155,28.9883270,-1.1467085,3.0910728
129,-12,-5.569899531150471,22.474793367536478,-12.7899380,0.0041322,47.1074371,0.2016347,-0.8508842,4.0000000,-0.5083503,1.1420089,28.9605961,-1.1934181,3.8186922
130,-12,-5.562442891150471,22.474793367536478,-12.7917328,-0.0039669,27.2727280,0.2657172,-0.8916399,4.0000000,-0.5933172,1.1421759,28.9884548,-1.1899625,4.1408138
131,-12,-5.554986251150471,22.474793367536478,-12.7934589,-0.0022314,32.2314034,0.3071323,-0.8119053,4.0000000,-0.5810437,1.1428001,29.0125523,-1.0427668,3.1982019
132,-12,-5.547529611150471,22.474793367536478,-12.7951107,-0.0005785,36.3636360,0.4048131,-0.7169885,4.0000000,-0.5939733,1.1423213,28.9660625,-0.8400037,2.0297110
133,-12,-5.540072971150471,22.474793367536478,-12.7966919,0.0010744,40.4958687,0.4036282,-0.6357931,4.0000000,-0.6284719,1.1409080,28.8814964,-0.6431142,1.4176632
134,-12,-5.532616331150471,22.474793367536478,-12.7982340,0.0025620,44.6280975,0.4194765,-0.7013625,4.0000000,-0.8678018,1.1383668,28.6492901,-0.5349231,2.1711118
135,-12,-5.525159691150471,22.474793367536478,-12.7997084,0.0039669,47.9338837,0.7169244,-0.9754537,4.0000000,-1.3922870,1.1345993,28.2543354,-0.5586204,4.7541242
136,-12,-5.517703051150471,22.474793367536478,-12.8011255,-0.0046281,26.4462814,0.8002170,-1.1055534,4.0000000,-1.6472909,1.1289930,27.6416397,-0.5638157,6.4373069
137,-12,-5.510246411150471,22.474793367536478,-12.8023958,-0.0033058,29.7520657,0.5353661,-0.9989953,4.0000000,-1.4420241,1.1225920,26.9575291,-0.5559665,5.3794303
