OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
84,-13,-4.906258571150471,17.575780887536478,-13.0667620,0.0000000,0.0000000,3.3486443,-2.1411452,4.0000000,-2.0864408,1.0003952,1.4633622,-2.1958497,11.6556158
85,-13,-4.898801931150471,17.575780887536478,-13.0668545,0.0000000,0.0000000,4.0125394,-2.3730228,8.0000000,-2.6531658,1.0001564,0.3095467,-2.0928795,14.5007925
86,-13,-4.891345291150471,17.575780887536478,-13.0667315,0.0000000,0.0000000,3.5150175,-2.1980767,5.0000000,-1.5075831,1.0005870,1.7775950,-2.8885701,12.3139744
87,-13,-4.883888651150471,17.575780887536478,-13.0664053,0.0000000,0.0000000,2.2665088,-1.7475029,4.0000000,-1.6561441,1.0013003,2.9259384,-1.8388617,7.7205844
88,-13,-4.876432011150472,17.575780887536478,-13.0659933,0.0000000,0.0000000,0.8706905,-1.1861759,4.0000000,-1.5663899,1.0020158,3.6615515,-0.8059620,3.9260302
89,-13,-4.868975371150471,17.575780887536478,-13.0654898,0.0000000,0.0000000,-0.1628507,-0.6836977,4.0000000,-1.3860710,1.0024660,4.0987420,0.0186755,2.2280419
90,-13,-4.861518731150472,17.575780887536478,-13.0649862,0.0000000,0.0000000,-0.8564186,-0.2561179,4.0000000,-1.2126189,1.0024375,4.0079393,0.7003831,1.9995340
91,-13,-4.854062091150471,17.575780887536478,-13.0645142,0.0000000,0.0000000,-0.9821234,-0.1325575,4.0000000,-1.1313375,1.0023384,3.9001050,0.8662224,2.0559897
92,-13,-4.995738251150471,17.568324247536477,-13.0596724,0.0050413,50.4132233,-0.2924270,0.4815363,4.0000000,0.9843846,1.0032626,4.6438651,-0.0213119,1.5388615
93,-13,-4.988281611150471,17.568324247536477,-13.0602570,-0.0040496,0.0000000,-0.3983913,0.4615622,4.0000000,0.8868548,1.0031273,4.5286255,0.0362696,1.6746827
94,-13,-4.980824971150471,17.568324247536477,-13.0608301,-0.0031405,0.0000000,-0.2670507,0.5629195,4.0000000,0.8312697,1.0029696,4.3698111,0.2945693,1.8262894
95,-13,-4.973368331150471,17.568324247536477,-13.0613956,-0.0022314,0.0000000,-0.0165532,0.7374724,4.0000000,0.7907157,1.0031248,4.4908233,0.6842290,2.2368989
96,-13,-4.965911691150471,17.568324247536477,-13.0620060,-0.0013223,0.0000000,-0.0537627,0.7441676,3.0000000,0.7113878,1.0036601,4.9088435,0.7769474,2.3563621
97,-13,-4.958455051150471,17.568324247536477,-13.0626726,-0.0004132,0.0000000,-0.3635491,0.5190693,4.0000000,0.6082959,1.0042018,5.2691474,0.4298426,1.8372775
98,-13,-4.950998411150471,17.568324247536477,-13.0633736,0.0000000,0.0000000,-0.5241236,0.1703509,4.0000000,0.4569954,1.0044897,5.4697204,-0.1162936,1.1875997
99,-13,-4.943541771150471,17.568324247536477,-13.0640764,0.0000000,0.0000000,-0.3499596,-0.1585775,4.0000000,0.2211547,1.0044166,5.4354877,-0.5383097,0.8128713
100,-13,-4.936085131150471,17.568324247536477,-13.0647497,0.0000000,0.0000000,0.0823168,-0.5778117,4.0000000,-0.1019604,1.0041536,5.2847195,-1.0536630,1.1814631
101,-13,-4.928628491150471,17.568324247536477,-13.0653992,0.0000000,0.0000000,0.7197855,-1.0222328,4.0000000,-0.4973013,1.0034585,4.8255315,-1.5471642,2.7640731
102,-13,-4.921171851150471,17.568324247536477,-13.0659370,0.0000000,0.0000000,1.4955180,-1.4427847,4.0000000,-0.9660712,1.0023749,3.9762397,-1.9194981,5.3738222
103,-13,-4.913715211150471,17.568324247536477,-13.0663614,0.0000000,0.0000000,2.1068740,-1.6826835,4.0000000,-1.4657240,1.0013871,3.0032563,-1.8996429,7.1471376
104,-13,-4.906258571150471,17.568324247536477,-13.0666380,0.0000000,0.0000000,2.7357388,-1.9540963,5.0000000,-2.2080510,1.0006129,1.9658483,-1.7001415,9.8279505
105,-13,-4.898801931150471,17.568324247536477,-13.0667620,0.0000000,0.0000000,3.2272265,-2.1909654,6.0000000,-3.4318306,1.0002370,0.9724329,-0.9500999,12.7573442
106,-13,-4.891345291150471,17.568324247536477,-13.0666895,0.0000000,0.0000000,2.7511973,-2.0618997,5.0000000,-0.8373759,1.0004241,1.4977500,-3.2864234,11.5121508
