OID_,DEM_Large_S3_RegL2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
117,-13,-3.273254411150471,19.029825687536480,-13.0122299,-0.0009917,15.7024794,-57.9590759,-1.3391318,4.0000000,-8.9480639,1.0305942,12.6228571,6.2698002,138.1053162
118,-13,-3.265797771150471,19.029825687536480,-13.0128050,-0.0004132,14.0495872,-33.8676109,-1.0160431,4.0000000,-6.6006980,1.0147288,9.2690735,4.5686121,76.3961563
119,-13,-3.258341131150471,19.029825687536480,-13.0132685,0.0000826,12.3966942,-24.0355968,-0.7913666,4.0000000,-5.6848249,1.0106462,7.1837878,4.1020918,52.4542503
120,-13,-3.250884491150471,19.029825687536480,-13.0136185,0.0004132,10.7438021,-29.4483929,-0.7842159,4.0000000,-3.3100653,1.0103070,6.1212845,1.7416334,62.8699112
121,-13,-3.243427851150471,19.029825687536480,-13.0138617,0.0005785,9.0909090,-10.5949574,2.3757019,4.0000000,3.8435886,1.0108513,6.4445910,0.9078149,45.0723801
122,-13,-3.235971211150471,19.029825687536480,-13.0139999,0.0006612,7.4380164,5.6111088,4.1412511,5.0000000,7.1818261,1.0065999,4.1850562,1.1006762,58.2663231
123,-13,-3.228514571150471,19.029825687536480,-13.0140429,0.0005785,5.7851238,-9.7184210,1.9592087,0.0000000,-1.6640867,1.0016446,0.8842818,5.5825038,34.8006477
124,-13,-3.221057931150471,19.029825687536480,-13.0139999,0.0004132,4.1322312,-10.8174734,0.3221748,6.0000000,2.9819508,1.0017425,1.4211572,-2.3376012,22.0793991
125,-13,-3.213601291150471,19.029825687536480,-13.0138836,0.0001653,2.4793389,-34.2461662,-1.8247361,4.0000000,4.0329642,1.0025842,3.1907210,-7.6824365,82.1871338
126,-13,-3.206144651150471,19.029825687536480,-13.0137024,-0.0001653,0.8264463,-35.0514336,-1.0386406,4.0000000,4.7423577,1.0214636,8.7925100,-6.8196387,77.4461670
127,-13,-3.198688011150471,19.029825687536480,-13.0134668,-0.0002479,0.0000000,-5.8569746,1.4723207,3.0000000,4.0518765,1.0315864,13.0794516,-1.1072352,23.5595551
128,-13,-3.191231371150471,19.029825687536480,-13.0131836,-0.0002479,0.0000000,40.7487450,6.9209027,2.0000000,4.3633866,1.0124278,8.5958662,9.4784193,113.5424500
129,-13,-3.183774731150470,19.029825687536480,-13.0128574,-0.0002479,0.0000000,34.0064964,6.4030471,3.0000000,7.6404915,1.0027084,4.5053544,5.1656027,97.3788910
130,-13,-3.176318091150470,19.029825687536480,-13.0124893,-0.0002479,0.0000000,9.8928699,3.6938984,2.0000000,5.0601063,1.0051900,4.8836694,2.3276906,35.4535027
131,-13,-3.168861451150471,19.029825687536480,-13.0120821,-0.0002479,0.0000000,-5.3866153,0.0788763,4.0000000,0.2485228,1.0064512,4.4709172,-0.0907701,10.9308872
132,-13,-3.161404811150471,19.029825687536480,-13.0116377,-0.0004132,0.0000000,-6.5928979,-0.3356956,5.0000000,-1.7935933,1.0040518,3.4670036,1.1222022,13.7441063
133,-13,-3.153948171150471,19.029825687536480,-13.0111570,-0.0010744,0.0000000,-0.2860522,-1.5836271,6.0000000,-2.8433397,1.0019820,1.6995087,-0.3239145,10.6293182
134,-13,-3.146491531150471,19.029825687536480,-13.0106401,-0.0019835,0.0000000,2.2746229,-2.8942227,8.0000000,-0.6105068,1.0019240,1.0038338,-5.1779385,28.9665165
135,-12,-3.482040331150471,19.022369047536479,-12.9761314,0.0012397,32.2314034,-66.9072800,-1.9844154,4.0000000,6.0016465,1.1018806,24.9802246,-9.9704771,206.8592834
136,-12,-3.474583691150471,19.022369047536479,-12.9779434,0.0034711,38.8429756,-39.9102859,-3.7273524,4.0000000,3.2701395,1.1506165,30.1204967,-10.7248440,196.5586243
137,-12,-3.467127051150471,19.022369047536479,-12.9797564,-0.0042149,25.6198349,-15.2207060,-4.4587436,5.0000000,1.1608748,1.1628013,27.7852764,-10.0783615,144.0793762
138,-12,-3.459670411150471,19.022369047536479,-12.9815588,-0.0018182,31.4049587,-10.6381140,-4.5631433,4.0000000,-1.7621087,1.1596481,30.4328671,-7.3641777,165.9580688
139,-12,-3.452213771150471,19.022369047536479,-12.9833393,0.0002479,37.1900826,24.7331600,-7.1698279,5.0000000,-5.7887297,1.1419569,28.6404057,-8.5509262,251.7365417
140,-12,-3.444757131150471,19.022369047536479,-12.9850874,-0.0077686,19.0082645,91.8882751,-10.1147375,4.0000000,-9.4281034,1.0985384,23.5045033,-10.8013716,316.3405151
141,-12,-3.437300491150471,19.022369047536479,-12.9867954,-0.0058678,23.1404953,36.2154541,-8.2696428,4.0000000,-4.0206780,1.0869681,23.1891651,-12.5186071,251.8217468
142,-12,-3.429843851150471,19.022369047536479,-12.9884577,-0.0041322,27.2727280,61.4648209,-10.3677406,4.0000000,-3.5931897,1.1299096,25.4239902,-17.1422920,384.4393921
143,-12,-3.422387211150471,19.022369047536479,-12.9900713,-0.0025620,31.4049587,50.5999336,-10.6798210,4.0000000,-3.0347164,1.1756606,28.7655506,-18.3249245,474.2741394
