OID_,RegN,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
129,-13,-4.414120331150471,20.096125207536481,-13.2537766,-0.0013223,0.0000000,-0.0756417,-0.7879459,4.0000000,-0.6113684,1.0071251,6.8508015,-0.9645233,2.7032566
130,-13,-4.406663691150471,20.096125207536481,-13.2528687,-0.0019835,0.0000000,-0.6565978,-0.4476655,4.0000000,-0.5440173,1.0082614,7.3759899,-0.3513137,2.1893098
131,-13,-4.399207051150471,20.096125207536481,-13.2519131,-0.0026446,0.0000000,-1.1668366,-0.0847376,4.0000000,-0.5032503,1.0090550,7.7139349,0.3337751,2.4526157
132,-13,-4.391750411150471,20.096125207536481,-13.2509413,-0.0033884,0.0000000,-1.5863088,0.2798495,4.0000000,-0.5066929,1.0094833,7.8818712,1.0663919,3.6036758
133,-13,-4.384293771150471,20.096125207536481,-13.2499819,0.0058678,58.6776848,-1.9276822,0.6264928,4.0000000,-0.5629865,1.0096338,7.9268136,1.8159721,5.5789537
134,-13,-4.376837131150471,20.096125207536481,-13.2490616,0.0051240,51.2396698,-2.2192562,0.9455978,4.0000000,-0.6590346,1.0096470,7.9089227,2.5502303,8.2082567
135,-13,-4.369380491150471,20.096125207536481,-13.2482023,0.0042975,43.8016510,-2.4933100,1.2291806,3.0000000,-0.7457125,1.0096998,7.9053216,3.2040737,11.2689886
136,-13,-4.361923851150471,20.096125207536481,-13.2474251,0.0034711,37.1900826,-2.8051541,1.4632105,3.0000000,-0.7432265,1.0099844,7.9941187,3.6696472,14.4793615
137,-13,-4.354467211150471,20.096125207536481,-13.2467461,0.0026446,30.5785122,-3.2368498,1.6306142,4.0000000,-0.5880802,1.0107158,8.2589703,3.8493085,17.5267010
138,-13,-4.578166411150471,20.088668567536480,-13.2481842,0.0023967,23.9669418,-0.1177179,-0.2685901,4.0000000,-0.6982089,1.0037665,4.9513879,0.1610287,0.5354114
139,-13,-4.570709771150471,20.088668567536480,-13.2488317,0.0033058,33.0578499,-0.1955662,-0.1986045,4.0000000,-0.6534064,1.0038761,5.0224900,0.2561974,0.5602571
140,-13,-4.563253131150471,20.088668567536480,-13.2494926,0.0042149,42.1487617,-0.2526680,-0.1410996,4.0000000,-0.5948468,1.0040456,5.1322312,0.3126476,0.5965537
141,-13,-4.555796491150471,20.088668567536480,-13.2501707,-0.0048760,0.0000000,-0.2736293,-0.1109783,5.0000000,-0.5262502,1.0042490,5.2655945,0.3042937,0.6082991
142,-13,-4.548339851150471,20.088668567536480,-13.2508659,-0.0039669,0.0000000,-0.2544823,-0.1196967,5.0000000,-0.4561571,1.0044440,5.3912430,0.2167637,0.5778698
143,-13,-4.540883211150471,20.088668567536480,-13.2515755,-0.0030579,0.0000000,-0.2048015,-0.1608953,4.0000000,-0.3892515,1.0045862,5.4801369,0.0674610,0.5240201
