OID_,RegG,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
121,-13,-4.190421131150472,19.343004567536479,-13.1208220,-0.0034711,31.4049587,-0.7835275,0.7538081,4.0000000,1.8755209,1.1662558,30.9833736,-0.3679048,9.3896017
122,-13,-4.182964491150472,19.343004567536479,-13.1165867,0.0024793,43.8016510,-0.2991853,0.9241734,4.0000000,1.9228094,1.1633351,30.7410412,-0.0744625,9.7507372
123,-13,-4.175507851150472,19.343004567536479,-13.1123819,-0.0016529,34.7107430,0.1454235,1.0775303,4.0000000,1.9661164,1.1593224,30.4015980,0.1889441,10.2549829
124,-13,-4.168051211150472,19.343004567536479,-13.1082239,0.0042149,47.1074371,0.5058575,1.2036136,4.0000000,2.0038481,1.1544150,29.9803581,0.4033794,10.7981157
125,-13,-4.160594571150471,19.343004567536479,-13.1041279,0.0002479,38.0165291,0.7658513,1.3001990,4.0000000,2.0339177,1.1488369,29.4891796,0.5664805,11.2800102
126,-13,-4.153137931150471,19.343004567536479,-13.1001034,-0.0038017,28.9256191,0.9252997,1.3700497,4.0000000,2.0542295,1.1428548,28.9514637,0.6858698,11.6649675
127,-13,-4.145681291150471,19.343004567536479,-13.0961571,0.0022314,42.9752083,0.9965736,1.4205259,4.0000000,2.0653954,1.1365829,28.3722515,0.7756564,11.9907322
128,-13,-4.138224651150471,19.343004567536479,-13.0922956,-0.0016529,33.8842964,0.9973794,1.4566219,4.0000000,2.0635719,1.1301440,27.7587528,0.8496720,12.2555733
129,-13,-4.130768011150471,19.343004567536479,-13.0885220,0.0048760,47.9338837,0.9285933,1.4800811,4.0000000,2.0463889,1.1236221,27.1182537,0.9137731,12.4761763
130,-13,-4.123311371150471,19.343004567536479,-13.0848398,0.0009917,38.8429756,0.8055461,1.4939550,4.0000000,2.0121737,1.1170467,26.4502201,0.9757365,12.6520147
131,-13,-4.115854731150471,19.343004567536479,-13.0812531,-0.0027273,29.7520657,0.6113206,1.4906456,4.0000000,1.9573236,1.1105402,25.7628441,1.0239677,12.7075691
132,-13,-4.108398091150471,19.343004567536479,-13.0777617,0.0040496,44.6280975,0.3495557,1.4648985,4.0000000,1.8774331,1.1042246,25.0709476,1.0523638,12.5639334
133,-13,-4.100941451150471,19.343004567536479,-13.0743656,0.0002479,35.5371895,0.0683697,1.4247189,4.0000000,1.7735525,1.0982486,24.3960838,1.0758852,12.2577667
134,-13,-4.093484811150471,19.343004567536479,-13.0710611,-0.0032231,26.4462814,-0.1909208,1.3806064,4.0000000,1.6491586,1.0926806,23.7446957,1.1120542,11.8685904
135,-13,-4.086028171150471,19.343004567536479,-13.0678463,0.0037190,46.2809906,-0.3932079,1.3408421,4.0000000,1.5064431,1.0875030,23.1165848,1.1752412,11.4307165
136,-13,-4.078571531150471,19.343004567536479,-13.0647173,0.0005785,37.1900826,-0.5278089,1.3112272,4.0000000,1.3504205,1.0826550,22.5104694,1.2720340,10.9962444
137,-13,-4.071114891150471,19.343004567536479,-13.0616751,-0.0027273,28.0991745,-0.6122550,1.2868207,4.0000000,1.1874496,1.0780177,21.9091339,1.3861917,10.5391016
138,-13,-4.063658251150471,19.343004567536479,-13.0587215,0.0043802,45.4545441,-0.6659608,1.2580341,3.0000000,1.0208199,1.0736352,21.3195515,1.4952483,9.9928885
139,-13,-4.391750411150472,19.335547927536478,-13.2008801,-0.0041322,12.3966942,-3.6624005,0.1208971,4.0000000,-1.7948513,1.0536228,18.3766575,2.0366454,9.0328484
140,-13,-4.384293771150471,19.335547927536478,-13.1995068,0.0043802,49.5867767,-3.1082177,0.0481003,4.0000000,-1.7000941,1.0585467,19.1685905,1.7962946,7.8229909
141,-13,-4.376837131150472,19.335547927536478,-13.1980715,0.0028099,42.1487617,-2.6336536,-0.0299254,4.0000000,-1.6011082,1.0634198,19.9148197,1.5412574,6.8232083
142,-13,-4.369380491150471,19.335547927536478,-13.1965656,0.0014050,36.3636360,-2.2458048,-0.1035753,4.0000000,-1.4855043,1.0682153,20.6164322,1.2783537,6.0518308
143,-13,-4.361923851150472,19.335547927536478,-13.1949768,-0.0001653,30.5785122,-1.9580582,-0.1722170,4.0000000,-1.3550830,1.0728931,21.2721233,1.0106490,5.5413709
144,-13,-4.354467211150472,19.335547927536478,-13.1932974,-0.0019008,24.7933884,-1.7758836,-0.2411455,4.0000000,-1.2192068,1.0774126,21.8812141,0.7369157,5.3252592
