OID_,RegI,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
126,-12,-2.251694731150473,18.835953047536478,-12.9880829,0.0028926,28.9256191,-0.0290186,0.4217912,4.0000000,0.8635365,1.0059724,6.2544851,-0.0199540,0.7974378
127,-12,-2.244238091150473,18.835953047536478,-12.9884024,0.0033884,33.8842964,0.0070798,0.5610569,4.0000000,0.9995063,1.0064186,6.4822679,0.1226075,1.2903684
128,-12,-2.438110731150472,18.828496407536477,-12.9785767,0.0032231,32.2314034,0.1411770,0.4454764,4.0000000,0.4538161,1.0043173,5.3211322,0.4371366,0.5205002
129,-12,-2.430654091150472,18.828496407536477,-12.9790440,0.0039669,39.6694221,0.0941781,0.3701449,4.0000000,0.3399650,1.0045894,5.4854755,0.4003249,0.3659314
130,-12,-2.423197451150472,18.828496407536477,-12.9795427,0.0047107,47.1074371,0.0541639,0.2936934,3.0000000,0.2318515,1.0048139,5.6188312,0.3555354,0.2405947
131,-12,-2.415740811150473,18.828496407536477,-12.9800673,-0.0044628,0.0000000,0.0228976,0.2148797,3.0000000,0.1290871,1.0049851,5.7182436,0.3006724,0.1409523
132,-12,-2.408284171150473,18.828496407536477,-12.9806118,-0.0037190,0.0000000,0.0012194,0.1310021,4.0000000,0.0299948,1.0050884,5.7769074,0.2320093,0.0670224
133,-12,-2.400827531150473,18.828496407536477,-12.9811678,-0.0029752,0.0000000,-0.0096744,0.0471100,4.0000000,-0.0592626,1.0051137,5.7903037,0.1534827,0.0286019
134,-12,-2.393370891150473,18.828496407536477,-12.9817276,-0.0023140,0.0000000,-0.0102228,-0.0290730,4.0000000,-0.1315619,1.0050670,5.7604256,0.0734158,0.0244383
135,-12,-2.385914251150473,18.828496407536477,-12.9822855,-0.0017355,0.0000000,-0.0029243,-0.0980570,4.0000000,-0.1877711,1.0049524,5.6942792,-0.0083430,0.0455516
136,-12,-2.378457611150472,18.828496407536477,-12.9828329,-0.0012397,0.0000000,0.0094158,-0.1569443,4.0000000,-0.2243935,1.0047852,5.5959826,-0.0894951,0.0816471
137,-12,-2.371000971150472,18.828496407536477,-12.9833660,-0.0008264,0.0000000,0.0229004,-0.2054825,4.0000000,-0.2409497,1.0045910,5.4784217,-0.1700153,0.1256421
138,-12,-2.363544331150472,18.828496407536477,-12.9838800,-0.0004959,0.0000000,0.0320619,-0.2402318,4.0000000,-0.2383406,1.0043819,5.3501806,-0.2421229,0.1696471
139,-12,-2.356087691150472,18.828496407536477,-12.9843702,-0.0002479,0.0000000,0.0358934,-0.2696685,5.0000000,-0.2248860,1.0041772,5.2225428,-0.3144510,0.2223706
140,-12,-2.348631051150472,18.828496407536477,-12.9848347,-0.0000826,0.0000000,0.0300245,-0.2903519,4.0000000,-0.2024010,1.0039914,5.1040339,-0.3783029,0.2807892
141,-12,-2.341174411150472,18.828496407536477,-12.9852715,0.0000000,0.0000000,0.0140347,-0.3049377,4.0000000,-0.1751268,1.0038326,4.9996362,-0.4347486,0.3479431
142,-12,-2.333717771150472,18.828496407536477,-12.9856777,0.0000826,0.8264463,-0.0144139,-0.3041641,4.0000000,-0.1356221,1.0037181,4.9224415,-0.4727061,0.4032992
143,-12,-2.326261131150472,18.828496407536477,-12.9860544,0.0002479,2.4793389,-0.0516942,-0.2928760,4.0000000,-0.0915679,1.0036612,4.8837419,-0.4941840,0.4513032
