OID_,RegJ,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
131,-12,-2.781116171150472,19.954449047536482,-12.9553738,0.0002479,31.4049587,0.2758488,-0.6147700,4.0000000,-0.3901754,1.0471325,17.2691898,-0.8393646,1.0976325
132,-12,-2.773659531150472,19.954449047536482,-12.9551420,0.0000000,29.7520657,0.2745946,-0.6221273,4.0000000,-0.3795377,1.0466069,17.1771793,-0.8647169,1.1372564
133,-12,-2.766202891150472,19.954449047536482,-12.9548817,-0.0002479,28.0991745,0.2416955,-0.6103710,4.0000000,-0.3323852,1.0460624,17.0823288,-0.8883568,1.1368895
134,-12,-2.758746251150472,19.954449047536482,-12.9545965,-0.0004959,26.4462814,0.1884817,-0.5859764,4.0000000,-0.2640538,1.0454991,16.9800282,-0.9078990,1.1147480
135,-12,-2.982445451150472,19.946992407536481,-12.9631004,-0.0014876,20.6611576,-0.3282300,0.0989279,4.0000000,0.0150652,1.0389086,15.7369862,0.1827906,0.8076153
136,-12,-2.974988811150472,19.946992407536481,-12.9627857,-0.0017355,19.8347111,-0.3140370,0.0744331,4.0000000,0.0289929,1.0400872,15.9663887,0.1198733,0.7598558
137,-12,-2.967532171150472,19.946992407536481,-12.9624825,-0.0021488,18.1818180,-0.2921483,0.0470245,4.0000000,0.0400110,1.0412287,16.1866798,0.0540379,0.6972002
138,-12,-2.960075531150472,19.946992407536481,-12.9621916,-0.0025620,16.5289249,-0.2629120,0.0178443,4.0000000,0.0493762,1.0423156,16.3926067,-0.0136877,0.6225060
139,-12,-2.952618891150472,19.946992407536481,-12.9619112,-0.0028099,15.7024794,-0.2311187,-0.0121705,4.0000000,0.0573353,1.0433378,16.5827827,-0.0816762,0.5482550
140,-12,-2.945162251150472,19.946992407536481,-12.9616413,-0.0030579,14.8760328,-0.1994590,-0.0428232,4.0000000,0.0648040,1.0442662,16.7550106,-0.1504504,0.4814498
