OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1009,,-6.360303371150471,19.193871767536479,-13.2058935,0.0004132,24.7933884,0.3085479,-1.0054117,4.0000000,-1.1134274,1.0289505,13.6143255,-0.8973961
1010,,-6.352846731150471,19.193871767536479,-13.2066803,0.0013223,29.7520657,0.4995300,-1.0650297,4.0000000,-1.1410352,1.0275962,13.2986794,-0.9890243
1011,,-6.345390091150471,19.193871767536479,-13.2074385,0.0020661,33.8842964,0.7009090,-1.1268915,4.0000000,-1.1695038,1.0262892,12.9863558,-1.0842792
1012,,-6.337933451150471,19.193871767536479,-13.2081614,0.0028099,38.0165291,0.9100825,-1.1898280,4.0000000,-1.1992387,1.0250204,12.6738195,-1.1804173
1013,,-6.330476811150471,19.193871767536479,-13.2088451,0.0034711,42.1487617,1.1155628,-1.2519557,4.0000000,-1.2275965,1.0237862,12.3644114,-1.2763149
1014,,-6.323020171150471,19.193871767536479,-13.2094841,0.0041322,46.2809906,1.3268296,-1.3141468,4.0000000,-1.2585552,1.0225965,12.0559092,-1.3697383
1015,,-6.315563531150471,19.193871767536479,-13.2100744,-0.0053719,0.0000000,1.5467733,-1.3773164,4.0000000,-1.2929506,1.0214549,11.7510796,-1.4616821
1016,,-6.308106891150471,19.193871767536479,-13.2106104,-0.0048760,0.0000000,1.7596787,-1.4370159,4.0000000,-1.3253479,1.0203575,11.4502411,-1.5486839
1017,,-6.300650251150471,19.193871767536479,-13.2110853,-0.0045455,0.0000000,1.9637344,-1.4931660,4.0000000,-1.3547262,1.0193272,11.1605930,-1.6316056
1018,,-6.293193611150471,19.193871767536479,-13.2114964,-0.0042149,0.0000000,2.1596453,-1.5461169,4.0000000,-1.3854496,1.0183733,10.8843613,-1.7067844
1019,,-6.285736971150471,19.193871767536479,-13.2118378,-0.0040496,0.0000000,2.3468523,-1.5951085,4.0000000,-1.4165843,1.0175068,10.6257944,-1.7736328
1020,,-6.278280331150471,19.193871767536479,-13.2121058,-0.0038843,0.0000000,2.5174024,-1.6389061,4.0000000,-1.4446924,1.0167400,10.3921156,-1.8331198
1021,,-6.270823691150471,19.193871767536479,-13.2122936,-0.0038017,0.0000000,2.6604676,-1.6745600,4.0000000,-1.4673324,1.0160913,10.1905794,-1.8817875
1022,,-6.263367051150471,19.193871767536479,-13.2124004,-0.0037190,0.0000000,2.7705958,-1.7007697,4.0000000,-1.4837632,1.0155835,10.0291061,-1.9177760
1023,,-6.255910411150471,19.193871767536479,-13.2124214,-0.0037190,0.0000000,2.8499000,-1.7186277,5.0000000,-1.4964628,1.0152236,9.9133062,-1.9407927
1024,,-6.248453771150471,19.193871767536479,-13.2123537,-0.0038017,0.0000000,2.8995292,-1.7283211,4.0000000,-1.5047556,1.0150230,9.8487501,-1.9518865
1025,,-6.240997131150471,19.193871767536479,-13.2121964,-0.0038843,0.0000000,2.9011958,-1.7248435,4.0000000,-1.5022764,1.0149931,9.8380909,-1.9474106
1026,,-6.233540491150471,19.193871767536479,-13.2119474,-0.0040496,0.0000000,2.8610783,-1.7098268,4.0000000,-1.4907585,1.0151336,9.8847761,-1.9288951
1027,,-6.226083851150471,19.193871767536479,-13.2116070,-0.0042975,0.0000000,2.7829814,-1.6840268,4.0000000,-1.4709039,1.0154405,9.9859438,-1.8971497
1028,,-6.218627211150471,19.193871767536479,-13.2111759,-0.0045455,0.0000000,2.6555898,-1.6435117,4.0000000,-1.4370240,1.0159087,10.1361170,-1.8499993
1029,,-6.211170571150471,19.193871767536479,-13.2106552,-0.0049587,0.0000000,2.4949574,-1.5919248,4.0000000,-1.3950663,1.0165157,10.3278370,-1.7887833
1030,,-6.203713931150471,19.193871767536479,-13.2100487,-0.0054545,0.0000000,2.3041971,-1.5291460,4.0000000,-1.3446840,1.0172489,10.5544815,-1.7136079
1031,,-6.196257291150471,19.193871767536479,-13.2093592,0.0038843,42.1487617,2.0887387,-1.4558339,4.0000000,-1.2851422,1.0180833,10.8054409,-1.6265256
1032,,-6.188800651150471,19.193871767536479,-13.2085905,0.0030579,36.3636360,1.8470281,-1.3700936,4.0000000,-1.2128024,1.0189717,11.0667791,-1.5273846
1033,,-6.181344011150471,19.193871767536479,-13.2077503,0.0022314,30.5785122,1.5922235,-1.2743969,4.0000000,-1.1321627,1.0198873,11.3302965,-1.4166310
1034,,-6.173887371150471,19.193871767536479,-13.2068434,0.0014050,25.6198349,1.3290929,-1.1687135,4.0000000,-1.0413896,1.0207875,11.5831146,-1.2960372
1035,,-6.166430731150471,19.193871767536479,-13.2058783,0.0004959,20.6611576,1.0678930,-1.0553122,4.0000000,-0.9414805,1.0216342,11.8146048,-1.1691438
1036,,-6.158974091150471,19.193871767536479,-13.2048626,-0.0004959,15.7024794,0.8189912,-0.9366322,4.0000000,-0.8338954,1.0223858,12.0159779,-1.0393690
1037,,-6.792788491150471,19.186415127536481,-13.0773506,0.0014876,45.4545441,0.7705685,-1.1994979,4.0000000,-0.3885055,1.2847654,38.9102974,-2.0104904
1038,,-6.785331851150471,19.186415127536481,-13.0832434,-0.0025620,39.6694221,0.9772707,-1.3578500,4.0000000,-0.4478102,1.2719208,38.1826973,-2.2678895
1039,,-6.777875211150471,19.186415127536481,-13.0889702,0.0030579,48.7603302,1.1799767,-1.4896498,4.0000000,-0.5128082,1.2578793,37.3594894,-2.4664915
1040,,-6.770418571150471,19.186415127536481,-13.0945187,-0.0014876,40.4958687,1.3689414,-1.5975531,4.0000000,-0.5820134,1.2431351,36.4557152,-2.6130929
1041,,-6.762961931150471,19.186415127536481,-13.0998793,0.0039669,49.5867767,1.5342753,-1.6825684,4.0000000,-0.6545171,1.2279449,35.4806900,-2.7106197
1042,,-6.755505291150471,19.186415127536481,-13.1050434,-0.0011570,41.3223152,1.6645452,-1.7442423,4.0000000,-0.7297500,1.2126888,34.4538612,-2.7587347
1043,,-6.748048651150471,19.186415127536481,-13.1100101,-0.0060331,30.5785122,1.7529767,-1.7854493,4.0000000,-0.8081191,1.1976715,33.3886299,-2.7627795
1044,,-6.740592011150471,19.186415127536481,-13.1147785,-0.0013223,39.6694221,1.7877063,-1.8093650,4.0000000,-0.8852676,1.1830913,32.2986221,-2.7334626
1045,,-6.733135371150471,19.186415127536481,-13.1193523,0.0028926,48.7603302,1.7628275,-1.8165652,4.0000000,-0.9612646,1.1691347,31.1975441,-2.6718659
1046,,-6.725678731150471,19.186415127536481,-13.1237345,-0.0025620,34.7107430,1.6778152,-1.8153292,4.0000000,-1.0317750,1.1559421,30.0988693,-2.5988834
