OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
93,-13,-4.436490251150471,20.081211927536479,-13.2524042,-0.0011570,0.0000000,-0.6293880,-0.4283476,4.0000000,-1.3292830,1.0020900,3.6783354,0.4725879,2.0156441
94,-13,-4.429033611150471,20.081211927536479,-13.2521563,-0.0015702,0.0000000,-0.7636982,-0.3716566,4.0000000,-1.3163216,1.0026613,4.1547489,0.5730085,2.1094172
95,-13,-4.421576971150471,20.081211927536479,-13.2518568,-0.0020661,0.0000000,-0.9019358,-0.3119642,4.0000000,-1.3032674,1.0033274,4.6463962,0.6793391,2.2305264
96,-13,-4.414120331150471,20.081211927536479,-13.2515097,-0.0025620,0.0000000,-1.0460854,-0.2497599,4.0000000,-1.2936630,1.0040903,5.1526423,0.7941432,2.3885882
97,-13,-4.406663691150471,20.081211927536479,-13.2511177,-0.0031405,0.0000000,-1.1909385,-0.1843476,4.0000000,-1.2843025,1.0049498,5.6687746,0.9156072,2.5759065
98,-13,-4.511056651150471,20.073755287536478,-13.2515154,-0.0019835,0.0000000,0.2413668,-0.6182851,4.0000000,-0.2514245,1.0013258,2.9384737,-0.9851456,1.0494969
99,-13,-4.503600011150471,20.073755287536478,-13.2518282,-0.0010744,0.0000000,0.2199681,-0.6366087,4.0000000,-0.2506651,1.0010856,2.6552768,-1.0225524,1.1841148
100,-13,-4.496143371150471,20.073755287536478,-13.2520866,-0.0004959,0.0000000,0.1878201,-0.6494706,5.0000000,-0.2984663,1.0008922,2.4015470,-1.0004749,1.3146198
101,-13,-4.488686731150471,20.073755287536478,-13.2522898,-0.0001653,0.0000000,0.1412047,-0.6553829,4.0000000,-0.4274069,1.0007566,2.2040560,-0.8833590,1.4390680
102,-13,-4.481230091150471,20.073755287536478,-13.2524328,0.0000000,0.0000000,0.0830921,-0.6550573,4.0000000,-0.6584270,1.0006888,2.0992892,-0.6516877,1.5543976
103,-13,-4.473773451150471,20.073755287536478,-13.2525139,-0.0000826,0.0000000,0.0110332,-0.6448109,4.0000000,-0.9346508,1.0007041,2.1204572,-0.3549709,1.6465881
104,-13,-4.466316811150471,20.073755287536478,-13.2525330,-0.0002479,0.0000000,-0.0736286,-0.6278141,5.0000000,-1.1667435,1.0008098,2.2758610,-0.0888848,1.7314538
105,-13,-4.458860171150471,20.073755287536478,-13.2524881,-0.0004959,0.0000000,-0.1692275,-0.6023574,4.0000000,-1.2967680,1.0010117,2.5481634,0.0920531,1.8002162
106,-13,-4.451403531150471,20.073755287536478,-13.2523804,-0.0008264,0.0000000,-0.2742292,-0.5694244,4.0000000,-1.3418913,1.0013127,2.9098687,0.2030425,1.8595532
107,-13,-4.443946891150471,20.073755287536478,-13.2522116,-0.0012397,0.0000000,-0.3888417,-0.5280551,4.0000000,-1.3393283,1.0017141,3.3307915,0.2832181,1.9117422
108,-13,-4.436490251150471,20.073755287536478,-13.2519817,-0.0016529,0.0000000,-0.5116607,-0.4811948,4.0000000,-1.3207937,1.0022167,3.7907436,0.3584042,1.9738292
109,-13,-4.429033611150471,20.073755287536478,-13.2516937,-0.0021488,0.0000000,-0.6421251,-0.4259377,4.0000000,-1.2960118,1.0028158,4.2759027,0.4441362,2.0408626
110,-13,-4.421576971150471,20.073755287536478,-13.2513504,-0.0027273,0.0000000,-0.7810388,-0.3679110,4.0000000,-1.2790757,1.0035074,4.7738528,0.5432537,2.1424527
111,-13,-4.414120331150471,20.073755287536478,-13.2509556,-0.0033058,0.0000000,-0.9257967,-0.3061557,4.0000000,-1.2674854,1.0042936,5.2819028,0.6551741,2.2750065
112,-13,-4.406663691150471,20.073755287536478,-13.2505121,-0.0039669,0.0000000,-1.0712039,-0.2404601,4.0000000,-1.2584584,1.0051699,5.7964277,0.7775382,2.4332297
113,-13,-4.399207051150471,20.073755287536478,-13.2500248,-0.0046281,0.0000000,-1.2219442,-0.1739944,4.0000000,-1.2571815,1.0061311,6.3110933,0.9091927,2.6376901
114,-13,-4.615449611150471,20.066298647536478,-13.2439899,0.0000000,0.0000000,-0.2045694,-0.0832397,4.0000000,-0.5164547,1.0029612,4.4068260,0.3499753,0.4429299
115,-13,-4.607992971150471,20.066298647536478,-13.2445517,0.0000000,0.0000000,-0.1549906,-0.1302607,4.0000000,-0.5234980,1.0031250,4.5278172,0.2629766,0.3839104
116,-13,-4.600536331150471,20.066298647536478,-13.2451286,0.0000000,0.0000000,-0.1019907,-0.1782902,4.0000000,-0.5251942,1.0032458,4.6138949,0.1686139,0.3370917
117,-13,-4.593079691150471,20.066298647536478,-13.2457161,0.0000000,0.0000000,-0.0493240,-0.2246526,4.0000000,-0.5225528,1.0033133,4.6614103,0.0732476,0.3063361
118,-13,-4.511056651150471,20.066298647536478,-13.2513266,-0.0023140,0.0000000,0.2936563,-0.6475707,4.0000000,-0.3204422,1.0013139,2.9248149,-0.9746991,1.0935599
119,-13,-4.503600011150471,20.066298647536478,-13.2516251,-0.0014050,0.0000000,0.2771299,-0.6666255,4.0000000,-0.3411832,1.0010785,2.6454318,-0.9920678,1.2266712
120,-13,-4.496143371150471,20.066298647536478,-13.2518682,-0.0007438,0.0000000,0.2503015,-0.6809472,5.0000000,-0.4173222,1.0008912,2.4012084,-0.9445722,1.3576556
121,-13,-4.488686731150471,20.066298647536478,-13.2520533,-0.0003306,0.0000000,0.2113130,-0.6895385,4.0000000,-0.5768091,1.0007657,2.2185261,-0.8022678,1.4832040
122,-13,-4.481230091150471,20.066298647536478,-13.2521772,-0.0001653,0.0000000,0.1588506,-0.6906652,4.0000000,-0.8185457,1.0007119,2.1347594,-0.5627849,1.5952885
123,-13,-4.473773451150471,20.066298647536478,-13.2522373,-0.0002479,0.0000000,0.0955329,-0.6830913,5.0000000,-1.0716310,1.0007427,2.1801429,-0.2945516,1.6817917
124,-13,-4.466316811150471,20.066298647536478,-13.2522326,-0.0004959,0.0000000,0.0188531,-0.6685200,4.0000000,-1.2557437,1.0008667,2.3575912,-0.0812963,1.7585783
125,-13,-4.458860171150471,20.066298647536478,-13.2521629,-0.0008264,0.0000000,-0.0690545,-0.6467075,4.0000000,-1.3398141,1.0010893,2.6485524,0.0463992,1.8226435
126,-13,-4.451403531150471,20.066298647536478,-13.2520266,-0.0012397,0.0000000,-0.1694165,-0.6149728,4.0000000,-1.3490225,1.0014141,3.0240989,0.1190769,1.8670171
127,-13,-4.443946891150471,20.066298647536478,-13.2518263,-0.0017355,0.0000000,-0.2797344,-0.5762659,4.0000000,-1.3250333,1.0018433,3.4558415,0.1725014,1.9079332
128,-13,-4.436490251150471,20.066298647536478,-13.2515621,-0.0022314,0.0000000,-0.4004764,-0.5308452,4.0000000,-1.2920141,1.0023733,3.9248359,0.2303237,1.9540151
129,-13,-4.429033611150471,20.066298647536478,-13.2512369,-0.0028099,0.0000000,-0.5271298,-0.4792229,4.0000000,-1.2600640,1.0030007,4.4167886,0.3016182,2.0055289
130,-13,-4.421576971150471,20.066298647536478,-13.2508535,-0.0034711,0.0000000,-0.6637443,-0.4214225,4.0000000,-1.2350899,1.0037211,4.9199524,0.3922450,2.0785122
131,-13,-4.414120331150471,20.066298647536478,-13.2504148,-0.0041322,0.0000000,-0.8034965,-0.3611114,4.0000000,-1.2193360,1.0045347,5.4316201,0.4971133,2.1786942
132,-13,-4.406663691150471,20.066298647536478,-13.2499237,0.0051240,51.2396698,-0.9472469,-0.2970917,4.0000000,-1.2108288,1.0054381,5.9472218,0.6166453,2.3086793
133,-13,-4.399207051150471,20.066298647536478,-13.2493849,0.0044628,44.6280975,-1.0968468,-0.2308369,4.0000000,-1.2100793,1.0064241,6.4630690,0.7484056,2.4810030
134,-13,-4.615449611150471,20.058842007536480,-13.2438164,-0.0000826,0.0000000,-0.2009901,-0.0951440,4.0000000,-0.5080734,1.0031092,4.5173120,0.3177854,0.4446742
135,-13,-4.607992971150471,20.058842007536480,-13.2443829,0.0000000,0.0000000,-0.1487604,-0.1450771,4.0000000,-0.5202863,1.0032653,4.6278787,0.2301321,0.3881767
136,-13,-4.600536331150471,20.058842007536480,-13.2449646,0.0000000,0.0000000,-0.0946776,-0.1940676,4.0000000,-0.5263338,1.0033756,4.7050486,0.1381986,0.3463977
